21:23:57  |  Core  |  Info  |  Load ini file 'core_resource.xml'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  123
21:23:57  |  Core  |  Info  |  Load ini file 'core_skin.xml'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  123
21:23:57  |  Core  |  Info  |  Load ini file 'core_pointer.xml'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  123
21:23:57  |  Core  |  Info  |  Gui successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  125
21:24:12  |  Core  |  Info  |  * Shutdown: Gui  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  132
21:24:12  |  Core  |  Info  |  * Shutdown: PointerManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  85
21:24:12  |  Core  |  Info  |  PointerManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  101
21:24:12  |  Core  |  Info  |  * Shutdown: InputManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_InputManager.cpp  |  81
21:24:12  |  Core  |  Info  |  InputManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_InputManager.cpp  |  86
21:24:12  |  Core  |  Info  |  * Shutdown: SkinManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  66
21:24:12  |  Core  |  Info  |  SkinManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  71
21:24:12  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  79
21:24:12  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  101
21:24:12  |  Core  |  Info  |  * Shutdown: LayerManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  64
21:24:12  |  Core  |  Info  |  destroy layer 'Back'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'Overlapped'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'Middle'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'Modal'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'Main'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'Popup'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'FadeMiddle'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'Info'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'ToolTip'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'DragAndDrop'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'FadeBusy'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'Pointer'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'Fade'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  destroy layer 'Statistic'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
21:24:12  |  Core  |  Info  |  LayerManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  75
21:24:12  |  Core  |  Info  |  * Shutdown: FontManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_FontManager.cpp  |  64
21:24:12  |  Core  |  Info  |  FontManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_FontManager.cpp  |  71
21:24:12  |  Core  |  Info  |  * Shutdown: ControllerManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  63
21:24:12  |  Core  |  Info  |  ControllerManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  74
21:24:12  |  Core  |  Info  |  * Shutdown: ClipboardManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  108
21:24:12  |  Core  |  Info  |  ClipboardManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  110
21:24:12  |  Core  |  Info  |  * Shutdown: LayoutManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  57
21:24:12  |  Core  |  Info  |  LayoutManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  62
21:24:12  |  Core  |  Info  |  * Shutdown: PluginManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  56
21:24:12  |  Core  |  Info  |  PluginManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  61
